2020-01-11;8fe03f08-8581-430c-a590-9888ab36deb3;4
2020-01-12;696c838e-c054-4e9f-a51a-50bf5660f364;4,5
2020-01-13;43efce48-94b2-4412-857f-223d45969008;4,5
2020-01-14;c6718d0e-976c-4d6c-b0e0-32c770776567;4
2020-01-15;603b8641-c6f6-4d89-ac89-88e50d45aa0d;5
2020-01-15;696c838e-c054-4e9f-a51a-50bf5660f364;5
2020-01-15;9b26952c-3470-4032-a9cd-f1e9d4f90ece;5
2020-01-15;b37ccae8-fc31-4ad8-8f55-ca855b23fbf6;5
2020-01-16;2fa2ab62-f1b0-4036-872f-bcfd9a8686ff;4
2020-01-17;43efce48-94b2-4412-857f-223d45969008;4,5
2020-01-17;696c838e-c054-4e9f-a51a-50bf5660f364;4,5
2020-01-18;43efce48-94b2-4412-857f-223d45969008;2
2020-01-19;43efce48-94b2-4412-857f-223d45969008;4,5
2020-01-19;be676776-8366-4c71-8a35-d58014806eb5;4,5
2020-01-20;30a19496-bdaf-461c-abbc-2709ae520201;4
